Year,Max_Temperature,Min_Temperature,Rainfall,Humidity,Dry_Bulb_Temperature,Infected,Deaths,Infected_MA,Deaths_MA
2003,33.51666666666667,18.083333333333332,141.08333333333334,73.66666666666667,25.75,15,10,10.333333333333334,7.0
2004,33.550000000000004,18.025000000000002,195.58333333333334,72.66666666666667,25.874999999999996,65,48,26.666666666666668,19.333333333333332
2005,33.666666666666664,18.733333333333334,219.75,72.83333333333333,26.241666666666664,17,16,32.333333333333336,24.666666666666668
2006,34.61666666666667,18.650000000000002,159.91666666666666,71.41666666666667,26.466666666666665,0,0,27.333333333333332,21.333333333333332
2007,33.9,18.291666666666668,240.41666666666666,73.16666666666667,25.70833333333333,18,9,11.666666666666666,8.333333333333334
2008,33.675000000000004,18.34166666666667,184.75,73.41666666666667,25.875,11,7,9.666666666666666,5.333333333333333
2009,34.65833333333333,18.675,160.91666666666666,70.25,26.525000000000002,7,2,12.0,6.0
2010,34.24166666666667,19.125,126.91666666666667,70.41666666666667,26.575,18,16,12.0,8.333333333333334
2011,33.658333333333324,18.683333333333334,148.0,70.91666666666667,25.816666666666663,43,37,22.666666666666668,18.333333333333332
2012,34.11666666666667,18.575000000000003,110.75,70.25,26.091666666666658,17,12,26.0,21.666666666666668
2013,34.175000000000004,18.4,129.66666666666666,70.5,26.09166666666667,30,24,30.0,24.333333333333332
2014,34.675000000000004,18.400000000000002,116.58333333333333,69.83333333333333,26.233333333333334,38,17,28.333333333333332,17.666666666666668
2015,34.358333333333334,18.558333333333337,180.5,70.75,26.15833333333333,18,13,28.666666666666668,18.0
2016,34.608333333333334,19.51666666666667,113.75,72.58333333333333,26.733333333333334,0,0,18.666666666666668,10.0
2017,34.20833333333333,19.141666666666662,241.0,73.41666666666667,26.375,3,2,7.0,5.0
2018,34.31666666666667,19.200000000000003,144.33333333333334,71.58333333333333,26.08333333333334,5,2,2.6666666666666665,1.3333333333333333
2019,34.70833333333333,18.45833333333333,153.08333333333334,72.5,26.358333333333334,9,8,5.666666666666667,4.0
2020,34.81666666666666,19.483333333333334,160.0,74.83333333333333,26.24166666666667,7,5,7.0,5.0
2021,35.4,19.05833333333333,156.08333333333334,71.91666666666667,26.775000000000006,3,0,6.333333333333333,4.333333333333333
2022,33.09166666666666,20.2,114.25,73.0,26.999999999999996,3,2,4.333333333333333,2.3333333333333335
