Year,DI,Mean_T,Min_T,Max_T,Precipitation,Pop_Bangladesh,Urban ,Rural ,Pop_density
2000,5551,25.28,21.04,30.07,2332.39,127657862,30114490,97543372,876
2001,2430,26.01,21.12,30.87,2251.5,130088709,31346175,98742534,881
2002,6232,25.77,21.18,30.52,2285.7,132478077,32796273,99681804,901
2003,486,25.74,21.24,30.47,2139.97,134791598,34276155,100515443,913
2004,3434,25.81,21.27,30.61,2210.38,136986429,35772636,101213793,926
2005,1048,26,21.3,30.75,1980.05,139035505,37274029,101761476,939
2006,2200,26.34,21.31,31.19,1880.04,140921154,38777274,102143880,953
2007,466,26.06,21.3,30.95,2432.2,142660381,40283012,102377369,966
2008,1153,25.84,21.27,30.5,2143.17,144304164,41802030,102502134,980
2009,474,26.58,21.23,31.59,1945.63,145924795,43352797,102571998,993
2010,409,26.47,21.18,31.31,2195.64,147575433,44954428,102621005,1007
2011,1359,25.84,21.1,30.68,1932.64,149273134,46610536,102662598,1021
2012,671,25.35,21.02,30.31,1941.19,151005733,48311264,102694469,1035
2013,1749,25.28,20.93,30.12,1984.83,152761413,50047694,102713719,1049
2014,375,25.57,20.85,30.4,1767.21,154517385,51817405,102699980,1063
2015,3162,25.42,20.79,30.15,2472.81,156256287,53608407,102647880,1077
2016,6160,25.87,20.75,30.56,2067.81,157977151,55423124,102554027,1090
2017,2769,25.65,20.74,30.28,2664.2,159685421,57259998,102425423,1103
2018,10148,25.25,20.76,30.08,1763.89,161376713,59115518,102261195,1116
2019,101354,25.6,20.8,30.35,1979.05,163046173,60987421,102058752,1125
2020,1193,25.38,20.85,30.08,2423.84,164689383,62873466,101815917,1140
2021,27870,25.68,20.9,30.52,2075.34,166303494,64768559,101534935,1163.959322
2000,0,14.02,7.91,20.17,1395.23,23941099,3207389,20733710,142.95467
2001,0,14.34,8.07,20.65,1344.87,24347113,3395692,20951421,157.3
2002,0,14.31,8.05,20.61,1360.19,24725625,3520929,21204696,160.8283338
2003,0,14.23,7.95,20.54,1352.8,25080880,3646258,21434622,164.4469713
2004,1,14.43,8.08,20.82,1318.15,25419337,3772484,21646853,168.1470282
2005,0,14.28,8.14,20.46,1075.34,25744500,3900034,21844466,171.9303363
2006,32,14.73,8.55,20.94,1189.39,26066687,4030431,22036256,175.7987689
2007,27,14.62,8.27,21,1216.85,26382586,4163436,22219150,171.08319
2008,10,14.22,8.11,20.36,1365.08,26666581,4294653,22371928,173.47835
2009,30,14.94,8.49,21.43,1081.36,26883531,4418039,22465492,175.90708
2010,917,14.97,8.64,21.35,1281.92,27013207,4529575,22483632,178.36977
2011,79,14.24,8.1,20.43,1652.36,27041220,4626212,22415008,180
2012,183,14.13,7.88,20.41,1308.71,26989160,4711768,22277392,181.7672196
2013,686,14.01,7.84,20.22,1334.14,26916795,4795227,22121568,183.5384602
2014,356,14.09,7.93,20.28,730.66,26905982,4892046,22013936,185.3269607
2015,135,14.13,7.93,20.38,1296.88,27015033,5013180,22001853,187.1328894
2016,1527,14.8,8.58,21.07,1316.54,27263430,5164239,22099191,188.9564161
2017,2111,14.56,8.46,20.69,1285.71,27632682,5343055,22289627,190.7977122
2018,811,14.29,8.22,20.4,1288.39,28095712,5546094,22549618,192.6569509
2019,17992,14.09,8.04,20.17,1211.17,28608715,5765514,22843201,194.5343071
2020,530,13.97,7.89,20.08,1295.25,29136808,5995190,23141618,196.4299573
2021,540,14.32,8.26,20.41,1365.94,29674920,6234107,23440813,198.3440797
2000,5213,27.06,23.4,30.78,1767.87,18777606,3451324,15326282,294.50602
2001,5999,27.25,23.64,30.9,1490,18911727,3473139,15438588,298.73216
2002,8931,27.34,23.73,30.99,1713.68,19062476,3497774,15564702,303.11777
2003,4805,27.33,23.72,30.98,1653.55,19224036,3524535,15699501,307.02496
2004,15463,27.05,23.45,30.71,1938.74,19387153,3551533,15835620,310.37397
2005,5994,27.2,23.6,30.86,1699.56,19544988,3577319,15967669,313.6592
2006,11980,27.16,23.56,30.81,2118.55,19695977,3602000,16093977,317.13579
2007,7332,27.11,23.5,30.76,1595.3,19842044,3625538,16216506,320
2008,6607,27.03,23.42,30.68,2000.6,19983984,3648476,16335508,322
2009,35010,27.4,23.8,31.06,1566.36,20123508,3670930,16452578,326
2010,34097,27.46,23.85,31.11,1836.34,20261738,3692904,16568834,329
2011,28473,27.27,23.67,30.93,1567.57,20398496,3714770,16683726,333
2012,44460,27.46,23.85,31.11,1705.22,20425000,3716533,16708467,323
2013,32060,27.24,23.64,30.89,1520.71,20585000,3746058,16838942,326.92768
2014,47261,27.39,23.78,31.04,1852.65,20778000,3785336,16992664,327
2015,29969,27.35,23.75,31,2321.39,20970000,3828283,17141717,320
2016,55150,27.72,24.11,31.37,1419.29,21203000,3882481,17320519,338
2017,186101,27.45,23.85,31.11,1675.3,21444000,3942265,17501735,342
2018,51659,27.34,23.73,30.99,1780.49,21670000,4003749,17666251,346
2019,105049,27.68,24.07,31.33,1864.93,21803000,4052088,17750912,348
2020,31162,27.66,24.05,31.31,1610.83,21919000,4101702,17817298,350
2021,25067,27.41,23.8,31.06,2038.73,22156000,4178622,17977378,353
2000,1394,24.71,18.75,30.72,1041.99,1056575548,292322757,764252791,309
2001,3306,24.89,18.93,30.89,1024.42,1075000094,300118526,774881568,314
2002,1926,25.09,19.14,31.09,908.1,1093317187,308796506,784520681,320
2003,12754,24.86,18.91,30.86,1054.2,1111523146,317584393,793938753,325
2004,4153,24.94,18.95,30.98,1028.36,1129623466,326495070,803128396,330
2005,11985,24.71,18.76,30.7,1114.59,1147609924,335503761,812106163,335
2006,12317,25.01,19.07,30.99,1189.7,1165486291,344622641,820863650,340
2007,5575,25.02,19.04,31.06,1133.78,1183209471,353850624,829358847,345
2008,12561,24.76,18.84,30.74,1156.11,1200669762,363154576,837515186,350
