Year,Population,Urban Population %,Density (P/Km²),Urban Population,Rural Population,Max T,Min T,Rainfall,Precipitation,Humidity,Dry-Bulb T,Infected,Death
2001,136578600,23,1049,32505706,104072893,33.24,18.28,139.92,2198.86115702479,73.42,25.94,16,11
2002,138612896,24,1065,33960159,104652737,33.44,17.68,156.25,2127.61388429752,73.17,25.82,0,0
2003,140647193,25,1080,35443092,105204100,33.52,18.08,141.08,2159.29685950413,73.67,25.75,15,10
2004,142681489,25,1096,36954505,105726983,33.55,18.02,195.58,2112.04462809917,72.67,25.88,65,48
2005,144715786,26,1112,38494399,106221386,33.67,18.73,219.75,2092.13256198347,72.83,26.24,17,16
2006,146213025,27,1123,40033126,106179898,34.62,18.65,159.92,2205.11702479339,71.42,26.47,0,0
2007,147710264,28,1134,41595210,106115053,33.9,18.29,240.42,2246.40595041322,73.17,25.71,18,9
2008,149207503,28,1146,43180651,106026851,33.67,18.34,184.75,2384.64892561984,73.42,25.88,11,7
2009,150704742,29,1157,44789449,105915292,34.66,18.68,160.92,2155.8267768595,70.25,26.52,7,2
2010,152201981,30,1169,46421604,105780376,34.24,19.12,126.92,2254.18809917355,70.42,26.58,18,16
2011,153638220,31,1180,48150218,105488002,33.66,18.68,148,2384.00727272727,70.92,25.82,43,37
2012,155074460,32,1191,49902961,105171498,34.12,18.58,110.75,2179.66710743802,70.25,26.09,17,12
2013,156510699,33,1202,51679833,104830866,34.17,18.4,129.67,2224.81190082645,70.5,26.09,30,24
2014,157946939,33,1213,53480833,104466105,34.67,18.4,116.58,1971.0694214876,69.83,26.23,38,17
2015,159383179,34,1224,55305963,104077215,34.36,18.56,180.5,2127.54247933884,70.75,26.16,18,13
2016,160766148,35,1234,57168442,103597705,34.61,19.52,113.75,2125.41024793388,72.58,26.73,0,0
2017,162149117,36,1245,59054708,103094408,34.21,19.14,241,2384.28198347107,73.42,26.38,3,2
2018,163532086,37,1256,60964761,102567324,34.32,19.2,144.33,2168.76495867769,71.58,26.08,5,2
2019,164915055,38,1267,62898601,102016453,34.71,18.46,153.08,2021.15008264463,72.5,26.36,9,8
2020,166298024,39,1278,64856229,101441794,34.82,19.48,160,2186.47834710744,74.83,26.24,7,5
2021,167841460,39,1289,66800901,101040559,35.4,19.06,156.08,2284.23272727273,71.92,26.78,3,0
2022,169384897,40,1301,68770268,100614628,33.09,20.2,114.25,2284.23272727273,73,27,3,2
2023,171466990,41,1317,70815866,100651123,38.33,21.11,241.57,2284.23272727273,64,30,11,8
2024,173562364,42,1333,72896192,100666171,32.78,26.11,350,2284.23272727273,75,29.44,2,2
